x,y,z1,z2,z3,z4
0.75,1.8,-129.4802,-0.4360015,0.0051623,0.4308391
0.75,1.85,-129.4796,-0.4346232,0.0055675,0.4290556
0.75,1.9,-129.4791,-0.4332623,0.0058122,0.42745
0.75,1.95,-129.4785,-0.4319308,0.0059261,0.4260047
0.75,2.0,-129.478,-0.4306378,0.0059346,0.4247031
0.75,2.05,-129.4774,-0.4293899,0.00586,0.4235299
0.75,2.1,-129.4769,-0.4281931,0.0057222,0.4224709
0.75,2.15,-129.4764,-0.4270517,0.0055388,0.4215129
0.75,2.2,-129.4758,-0.4259683,0.0053238,0.4206444
0.75,2.25,-129.4753,-0.4249433,0.0050882,0.4198551
0.75,2.3,-129.4749,-0.4239762,0.0048401,0.419136
0.75,2.35,-129.4744,-0.423066,0.0045864,0.4184796
0.75,2.4,-129.474,-0.4222118,0.0043327,0.417879
0.75,2.45,-129.4736,-0.4214122,0.0040836,0.4173286
0.75,2.5,-129.4732,-0.4206651,0.0038414,0.4168237
0.75,2.55,-129.4729,-0.419967,0.0036069,0.41636
0.75,2.6,-129.4726,-0.4193144,0.0033803,0.415934
0.75,2.65,-129.4722,-0.4187042,0.0031616,0.4155425
0.75,2.7,-129.472,-0.4181339,0.0029512,0.4151826
0.75,2.75,-129.4717,-0.4176016,0.0027498,0.4148517
0.75,2.8,-129.4714,-0.4171056,0.0025579,0.4145477
0.75,2.85,-129.4712,-0.4166442,0.0023756,0.4142686
0.75,2.9,-129.471,-0.4162156,0.002203,0.4140125
0.75,2.95,-129.4708,-0.4158177,0.00204,0.4137776
0.75,3.0,-129.4706,-0.4154487,0.0018862,0.4135625
0.75,3.05,-129.4704,-0.4151067,0.0017412,0.4133655
0.75,3.1,-129.4703,-0.4147899,0.0016045,0.4131854
0.75,3.15,-129.4701,-0.4144968,0.0014758,0.4130209
0.75,3.2,-129.47,-0.4142259,0.0013549,0.4128709
0.75,3.25,-129.4699,-0.413976,0.0012416,0.4127343
0.75,3.3,-129.4698,-0.4137458,0.0011358,0.41261
0.75,3.35,-129.4697,-0.4135344,0.0010373,0.4124971
0.75,3.4,-129.4696,-0.4133405,0.0009459,0.4123946
0.75,3.45,-129.4695,-0.413163,0.0008612,0.4123018
0.75,3.5,-129.4694,-0.4130008,0.000783,0.4122178
0.75,3.55,-129.4693,-0.4128529,0.0007109,0.4121419
0.75,3.6,-129.4693,-0.4127182,0.0006446,0.4120735
