x,y,z,force1_x,force2_x,force3_x
0.6,3.85,-100.687889353,-1.452886556,3.1427e-05,1.452855129
0.6,3.9,-100.68788655,-1.452882252,2.789e-05,1.452854362
0.6,3.95,-100.687884062,-1.452878708,2.4936e-05,1.452853772
0.6,4.0,-100.687881814,-1.452876026,2.2701e-05,1.452853325
0.65,0.5,-100.49703415,-0.457205014,-0.713316976,1.170521989
0.65,0.55,-100.556277281,-0.596379605,-0.549566324,1.145945929
0.65,0.6,-100.602270501,-0.693136552,-0.430005872,1.123142424
0.65,0.65,-100.63848995,-0.761493093,-0.340870003,1.102363096
0.65,0.7,-100.667359896,-0.810438797,-0.273238067,1.083676863
0.65,0.75,-100.690611198,-0.84591622,-0.221120956,1.067037176
0.65,0.8,-100.709503198,-0.871952287,-0.180395148,1.052347434
0.65,0.85,-100.724967926,-0.891314472,-0.148173515,1.039487987
0.65,0.9,-100.737706397,-0.905920133,-0.12239849,1.028318623
0.65,0.95,-100.748253422,-0.917107724,-0.101574469,1.018682194
0.65,1.0,-100.757022038,-0.92581675,-0.084596774,1.010413524
0.65,1.05,-100.764334874,-0.932707291,-0.070641436,1.003348727
0.65,1.1,-100.770446871,-0.93824272,-0.059089381,0.997332101
0.65,1.15,-100.775561973,-0.942748126,-0.049472215,0.992220341
0.65,1.2,-100.779845349,-0.946452659,-0.041431986,0.987884644
0.65,1.25,-100.783432339,-0.949520424,-0.034690883,0.984211307
0.65,1.3,-100.786434945,-0.95207154,-0.029029706,0.981101246
0.65,1.35,-100.788946576,-0.95419718,-0.024271872,0.978469052
0.65,1.4,-100.791045534,-0.955968783,-0.020272732,0.976241516
0.65,1.45,-100.792797655,-0.957444398,-0.016912006,0.974356404
0.65,1.5,-100.794258344,-0.958672293,-0.01408853,0.972760822
0.65,1.55,-100.795474225,-0.959693034,-0.011717111,0.971410145
0.65,1.6,-100.796484511,-0.960541034,-0.009725619,0.970266653
0.65,1.65,-100.797322142,-0.961245199,-0.008053286,0.969298485
0.65,1.7,-100.79801481,-0.96182951,-0.006649424,0.968478934
0.65,1.75,-100.798585793,-0.962314273,-0.005471014,0.967785287
0.65,1.8,-100.799054665,-0.962715711,-0.004482767,0.967198477
0.65,1.85,-100.799437967,-0.963047325,-0.003655105,0.96670243
0.65,1.9,-100.799749629,-0.963320845,-0.002962572,0.966283417
0.65,1.95,-100.80000143,-0.963544887,-0.002385004,0.965929891
0.65,2.0,-100.800203401,-0.963727019,-0.001904984,0.965632003
0.65,2.05,-100.800363991,-0.963874565,-0.001506774,0.965381339
0.65,2.1,-100.800490338,-0.963992341,-0.00117841,0.96517075
0.65,2.15,-100.800588556,-0.964084423,-0.000909632,0.964994054
0.65,2.2,-100.800663785,-0.964155709,-0.000690207,0.964845916
0.65,2.25,-100.800720287,-0.964209613,-0.00051216,0.964721772
0.65,2.3,-100.80076169,-0.96424802,-0.000369664,0.964617683
0.65,2.35,-100.80079107,-0.964273684,-0.000256567,0.964530251
0.65,2.4,-100.800810903,-0.964289912,-0.000166728,0.96445664
0.65,2.45,-100.800823185,-0.964298248,-9.6221e-05,0.964394468
0.65,2.5,-100.800829606,-0.964299522,-4.2178e-05,0.9643417
0.65,2.55,-100.800831564,-0.964295541,-1.108e-06,0.964296649
0.65,2.6,-100.800830108,-0.964288572,3.0575e-05,0.964257997
0.65,2.65,-100.800826024,-0.964279382,5.4697e-05,0.964224685
0.65,2.7,-100.800819985,-0.964267901,7.208e-05,0.964195821
0.65,2.75,-100.800812576,-0.964254646,8.3975e-05,0.964170672
0.65,2.8,-100.800804231,-0.96424087,9.2184e-05,0.964148686
0.65,2.85,-100.800795233,-0.964227362,9.7902e-05,0.96412946
0.65,2.9,-100.800785806,-0.964213844,0.000101224,0.96411262
0.65,2.95,-100.800776178,-0.964200056,0.000102215,0.96409784
0.65,3.0,-100.800766545,-0.964186297,0.000101476,0.964084821
0.65,3.05,-100.800757032,-0.964173157,9.9767e-05,0.96407339
0.65,3.1,-100.80074771,-0.964160932,9.7459e-05,0.964063473
0.65,3.15,-100.800738639,-0.964149356,9.4399e-05,0.964054957
0.65,3.2,-100.800729899,-0.96413813,9.0465e-05,0.964047665
0.65,3.25,-100.800721564,-0.964127293,8.5907e-05,0.964041386
0.65,3.3,-100.800713671,-0.964117115,8.1144e-05,0.96403597
0.65,3.35,-100.800706235,-0.964107673,7.6264e-05,0.96403141
0.65,3.4,-100.800699257,-0.964099121,7.142e-05,0.964027702
0.65,3.45,-100.800692743,-0.964091186,6.6438e-05,0.964024748
0.65,3.5,-100.800686706,-0.964083743,6.1321e-05,0.964022422
0.65,3.55,-100.800681155,-0.964076775,5.6215e-05,0.964020561
0.65,3.6,-100.80067607,-0.964070468,5.1474e-05,0.964018994
0.65,3.65,-100.800671419,-0.964064811,4.706e-05,0.964017752
0.65,3.7,-100.800667165,-0.96405991,4.3011e-05,0.964016899
0.65,3.75,-100.800663288,-0.964055453,3.9077e-05,0.964016376
0.65,3.8,-100.800659774,-0.964051511,3.5357e-05,0.964016154
